IUCN,Generations,median_Ne,lq_Ne,uq_Ne
CR,226335.16260633973,112215.78622707832,58332.89349447603,194089.81883469707
CR,239084.4269622149,112064.21928798054,59142.44126989489,198820.2749796559
CR,252551.84637514898,149456.01038815954,60658.54340272719,210460.22453875796
CR,266777.87389965414,158613.4339168766,62535.41934742409,268323.00851362845
CR,281805.2412758877,207498.44846707492,92340.5775355275,305408.4856270038
CR,297679.08728604735,213758.68129639718,93058.80816093787,473754.82152258285
CR,314447.093340972,183180.48038530367,93586.37344169134,674643.451864067
CR,332159.62670421787,196339.75759869878,93790.7853187742,791682.4204624596
CR,350869.8917838262,221625.33291448842,94239.52474416504,909652.9529168619
CR,370634.08994621935,249360.8421292231,94945.0960894344,993967.1282828506
CR,391511.5883322841,340634.1395363228,96123.04005295126,751037.9953162144
CR,413565.09818271094,334008.49597978557,101578.57374540203,994682.842086301
CR,436860.8632082517,353490.10913444567,107564.54214211565,1225327.0561889964
CR,461468.85857070895,374069.1047431951,114882.07138378825,1215103.8853761286
CR,487463.00107235287,393412.0060861121,127130.94227679547,1010376.8803220695
CR,514921.37118512567,466545.4352063813,134412.67367163955,1075805.8583937348
CR,543926.4475865641,264798.9328884495,123103.45195275192,1319863.7250324404
CR,574565.3549069184,221207.6191778529,121447.65276026011,1440111.8950713503
CR,606930.1254316657,253992.1650098004,125421.284439466,1440111.8950713503
CR,641117.9755454864,315087.1850417681,173427.32728406333,1440111.8950713503
CR,677231.5977481019,606789.5578822875,205746.11454005993,1440111.8950713503
CR,715379.4691191075,983405.9970608159,256352.66922205783,1440111.8950713503
CR,755676.1771583632,1125577.615732439,322348.8196719231,1705471.704998479
CR,798242.7639806941,1255728.051189721,422164.38855353306,1705471.704998479
CR,843207.0898987766,1255728.051189721,528871.6428945999,1705471.704998479
CR,890704.2174863509,1255728.051189721,304826.015929124,1705471.704998479
CR,940876.8172753522,1255728.051189721,261277.03059115054,1705471.704998479
CR,993875.5963056412,1255728.051189721,265564.990910863,1705471.704998479
CR,1049859.7508145561,1109690.6544699478,259303.13959815452,1584803.1919992594
CR,1108997.4444260793,1041726.2708215105,553258.0790680943,1584803.1919992594
CR,1171466.3132759875,1332093.482964951,581211.0934140973,1697753.9258764852
CR,1237453.9995902644,1332093.482964951,589009.1526768808,1753622.4137464499
CR,1307158.7153195224,1332093.482964951,595531.1796844625,1753622.4137464499
CR,1380789.8375224848,1453013.863448579,1074586.7045603844,1753622.4137464499
CR,1458568.5372868625,1620131.6559313338,1167986.5039285698,1900592.2973701216
CR,1540728.444076845,1720154.8262014757,1344323.240897462,2042484.521282401
CR,1627516.3475026898,1757723.7588854306,1344323.240897462,2219637.574465195
CR,1719192.9386203927,1757723.7588854306,1344323.240897462,2268926.605340125
CR,1816033.592988126,1757723.7588854306,1344323.240897462,2268926.605340125
CR,1918329.197831573,1757723.7588854306,1344323.240897462,2268926.605340125
CR,2026387.0258027695,1811472.6419884623,1501244.2957578823,2276200.8358314624
CR,2140531.6579570216,1811472.6419884623,1501244.2957578823,2665433.9832074624
CR,2261105.9587203506,1811472.6419884623,1501244.2957578823,2665433.9832074624
CR,2388472.1057759426,1811472.6419884623,1501244.2957578823,2665433.9832074624
CR,2523012.677963281,1811472.6419884623,1501244.2957578823,2665433.9832074624
CR,2665131.80445767,1811472.6419884623,1501244.2957578823,2665433.9832074624
CR,2815256.378682045,1811472.6419884623,1501244.2957578823,2665433.9832074624
CR,2973837.340597398,1811472.6419884623,1501244.2957578823,2665433.9832074624
CR,3141351.0312235095,1811472.6419884623,1501244.2957578823,2665433.9832074624
