"","ID","species","vgp_group","Accession","Secondary_Accession","IUCN","Combined_captivity_flag_primary","Combined_captivity_flag_alternate"
"260","aBomVar","Bombina_variegata","amphibians","GCA_964205295.1","GCA_964205305.1","LC","no",NA
"261","bAytFer","Aythya_ferina","birds","GCA_964211825.1","GCA_964211795.1","VU","no",NA
"262","bAnsAns","Anser_anser","birds","GCA_964211835.1","GCA_964211785.1","LC","no",NA
"263","mMyoNat","Myotis_nattereri","mammals","GCA_964212035.2","GCA_964212025.2","LC","no",NA
"264","sMusAst","Mustelus_asterias","sharks","GCA_964213995.1","GCA_964214025.1","NT","no",NA
"265","rPodMel","Podarcis_melisellensis","reptiles","GCA_964234715.1","GCA_964234825.1","LC","no",NA
"266","bGalChl","Gallinula_chloropus","birds","GCA_964237585.1","GCA_964237395.1","LC","no",NA
"267","rPodErh","Podarcis_erhardii","reptiles","GCA_964252035.1","GCA_964251985.1","LC","no",NA
"268","aLisHel","Lissotriton_helveticus","amphibians","GCA_964261635.1","GCA_964258895.1","LC","no","no"
"269","aLisVul","Lissotriton_vulgaris","amphibians","GCA_964263255.1","GCA_964261385.1",NA,NA,NA
"270","fCorLav","Coregonus_lavaretus","fishes","GCA_964263955.1","GCA_964263835.1","VU","likely",NA
"271","mNycLei","Nyctalus_leisleri","mammals","GCA_964264875.2","GCA_964264895.2","LC","no",NA
"272","fMicKit","Microstomus_kitt","fishes","GCA_964266715.1","GCA_964266705.1","LC","no","no"
"273","rPodFil","Podarcis_filfolensis","reptiles","GCA_964270895.1","GCA_964270875.1","LC","no",NA
"274","bStrDec","Streptopelia_decaocto","birds","GCA_964273445.1","GCA_964273585.1","LC","no",NA
"275","rNatHel","Natrix_helvetica","reptiles","GCA_964273705.1","GCA_964273795.1","LC","no",NA
"276","fGasAcu","Gasterosteus_aculeatus","fishes","GCA_964276395.1","GCA_964276385.1","LC","no",NA
"277","bPhaAet","Phaethon_aethereus","birds","GCA_964289735.1","GCA_964289755.1","LC","no",NA
"278","mMesMir","Mesoplodon_mirus","mammals","GCA_964341445.1","GCA_964341485.1","LC","likely",NA
"279","mGraGri","Grampus_griseus","mammals","GCA_964374135.1","GCA_964374185.1","LC","no",NA
"280","fAstCal","Astatotilapia_calliptera","fishes","GCA_964374335.1","GCA_900246225.5","LC","likely","likely"
"281","bLarArg","Larus_argentatus","birds","GCA_964417175.1","GCA_964417125.1","LC","no",NA
"282","fPorCra","Poromitra_crassiceps","fishes","GCA_964638095.1","GCA_964638665.1","LC","no",NA
"283","mPipNat","Pipistrellus_nathusii","mammals","GCA_964656225.1","GCA_963693515.1","LC","yes",NA
"284","mHalGry","Halichoerus_grypus","mammals","GCA_964656455.1","GCA_964656465.1","LC","no",NA
"285","mMusNiv","Mustela_nivalis","mammals","GCA_964662115.1","GCA_964662095.1","LC","no","no"
"286","rPodLio","Podarcis_liolepis","reptiles","GCA_965112155.1","GCA_965178375.1","LC","no",NA
"287","fLeuLeu","Leuciscus_leuciscus","fishes","GCA_965113295.1","GCA_965113325.1","LC","no",NA
"288","rPodVau","Podarcis_vaucheri","reptiles","GCA_965113315.1","GCA_965113305.1","LC","no",NA
"289","mMyoEma","Myotis_emarginatus","mammals","GCA_965115925.1","GCA_965115945.1","LC","no",NA
"290","aPelLes","Pelophylax_lessonae","amphibians","GCA_965119305.1","GCA_965119315.1","LC","likely",NA
"291","rCarCar","Caretta_caretta","reptiles","GCA_965140235.1","GCA_965140275.1","VU","no",NA
"292","bAthNoc","Athene_noctua","birds","GCA_965140245.1","GCA_965140185.1","LC","no",NA
"293","rLepKem","Lepidochelys_kempii","reptiles","GCA_965140285.1","GCA_965140265.1","CR","no",NA
"294","rLepOli","Lepidochelys_olivacea","reptiles","GCA_965140295.1","GCA_965140255.1","VU","no",NA
"295","bAytMar","Aythya_marila","birds","GCA_965140915.1","GCA_965140925.1","LC","no",NA
"296","bCygCol","Cygnus_columbianus","birds","GCA_965151615.1","GCA_965151595.1","LC","no","no"
"297","rEreImb","Eretmochelys_imbricata","reptiles","GCA_965152235.1","GCA_965152285.1","CR","no likely","no likely"
"298","rNatDep","Natator_depressus","reptiles","GCA_965152275.1","GCA_965152195.1","DD/NE","no",NA
"299","rPodTil","Podarcis_tiliguerta","reptiles","GCA_965153285.1","GCA_965153305.1","LC","no",NA
"300","bColMon","Coloeus_monedula","birds","GCA_965178545.1","GCA_965178535.1","LC","no",NA
"301","bPlaLeu","Platalea_leucorodia","birds","GCA_965183815.1","GCA_965183785.1","LC","likely",NA
"302","mBalBor","Balaenoptera_borealis","mammals","GCA_965194805.1","GCA_965194725.1","EN","no",NA
"303","mBalPhy","Balaenoptera_physalus","mammals","GCA_965194825.1","GCA_965194765.1","VU","no",NA
"304","kThaDem","Thalia_democratica","chordates","GCA_965202585.1","GCA_965202575.1","DD/NE","no",NA
"305","fAulStu","Aulonocara_stuartgranti","fishes","GCA_965226115.1","GCA_965226735.1","LC","yes",NA
"306","fPagPag","Pagrus_pagrus","fishes","GCA_965226575.1","GCA_965225695.1","LC","no",NA
"307","bVanVan","Vanellus_vanellus","birds","GCA_965231255.1","GCA_965231265.1","NT","no",NA
"308","bZosLat","Zosterops_lateralis","birds","GCA_965231275.1","GCA_965231245.1","LC","no",NA
"309","bBraCan","Branta_canadensis","birds","GCA_965231335.1","GCA_965231325.1","LC","no","no"
"310","mBosTau","Bos_taurus","mammals","GCF_003369695.1","GCA_003369685.2","DD/NE","yes",NA
"311","bCalAnn","Calypte_anna","birds","GCF_003957555.1","GCA_002021895.1","LC","likely","likely"
"312","bStrHab","Strigops_habroptila","birds","GCF_004027225.2","GCA_004011185.1","CR","no","no"
"313","mOrnAna","Ornithorhynchus_anatinus","mammals","GCF_004115215.2","GCA_002966995.1","NT","no","no"
"314","mRhiFer","Rhinolophus_ferrumequinum","mammals","GCF_004115265.2","GCA_014108255.1","LC","no","no"
"315","mPhyDis","Phyllostomus_discolor","mammals","GCF_004126475.2","GCA_014049915.1","LC","likely","likely"
"316","mLynCan","Lynx_canadensis","mammals","GCF_007474595.2","GCA_007474575.2","LC","no likely","no likely"
"317","mPhoSin","Phocoena_sinus","mammals","GCF_008692025.1","GCA_008692045.1","CR","no","no"
"318","bCorMon","Corvus_moneduloides","birds","GCF_009650955.1","GCA_009651025.1","LC","no","no"
"319","mZalCal","Zalophus_californianus","mammals","GCF_009762305.2","GCA_009762295.2","LC","no","no"
"320","fNotCel","Notolabrus_celidotus","fishes","GCF_009762535.1","GCA_009762545.1","LC","no","no"
"321","sPriPec","Pristis_pectinata","sharks","GCF_009764475.1","GCA_009764485.1","CR","no","no"
"322","rDerCor","Dermochelys_coriacea","reptiles","GCF_009764565.3","GCA_009762595.2","VU","no likely","no"
"323","rThaEle","Thamnophis_elegans","reptiles","GCF_009769535.1","GCA_009769695.1","LC","likely","likely"
"324","fCycLum","Cyclopterus_lumpus","fishes","GCF_009769545.1","GCA_963457625.1","NT","no",NA
"325","bCygOlo","Cygnus_olor","birds","GCF_009769625.2","GCA_009769485.2","LC","no","no"
"326","rLacAgi","Lacerta_agilis","reptiles","GCF_009819535.1","GCA_009819545.1","LC","likely","likely"
"327","bSylAtr","Sylvia_atricapilla","birds","GCF_009819655.1","GCA_009819715.1","LC","no","no"
"328","fHipHip","Hippoglossus_hippoglossus","fishes","GCF_009819705.1","GCA_009819745.1","NT","no","no"
"329","bAytFul","Aythya_fuligula","birds","GCF_009819795.1","GCA_009819845.1","LC","no","no"
"330","bCatUst","Catharus_ustulatus","birds","GCF_009819885.2","GCA_009819505.2","LC","no","no"
"331","fPerMag","Periophthalmus_magnuspinnatus","fishes","GCF_009829125.3","GCA_026225835.1","LC","no","no"
"332","bChiLan","Chiroxiphia_lanceolata","birds","GCF_009829145.1","GCA_009829205.1","LC","no","no"
"333","mMusErm","Mustela_erminea","mammals","GCF_009829155.1","GCA_009829165.1","LC","no","no"
"334","mHomSap","Homo_sapiens","mammals","GCF_009914755.1","GCA_016695395.2","DD/NE","yes",NA
"335","sAmbRad","Amblyraja_radiata","sharks","GCF_010909765.2","GCA_010909745.1","VU","no likely","no"
"336","kPetMar","Petromyzon_marinus","chordates","GCF_010993605.1","GCA_010993595.1","LC","no likely","no"
"337","fEsoLuc","Esox_lucius","fishes","GCF_011004845.1","GCF_004634155.1","LC","no","no"
"338","mTriVul","Trichosurus_vulpecula","mammals","GCF_011100635.1","GCA_011100645.1","LC","likely","likely"
"339","mTurTru","Tursiops_truncatus","mammals","GCF_011762595.1","GCA_011762515.1","LC","yes",NA
"340","bMelUnd","Melopsittacus_undulatus","birds","GCF_012275295.1","GCA_012275275.1","LC","likely",NA
"341","fAngAng","Anguilla_anguilla","fishes","GCF_013347855.1","GCA_013347865.1","CR","no","no"
"342","fMegCyp","Megalops_cyprinoides","fishes","GCF_013368585.1","GCA_013368575.1","DD/NE","no","no"
"343","bNycGra","Nyctibius_grandis","birds","GCF_013368605.1","GCA_013368595.1","LC","no","no"
"344","mRouAeg","Rousettus_aegyptiacus","mammals","GCF_014176215.1","GCF_001466805.2","LC","yes",NA
"345","bDryPub","Dryobates_pubescens","birds","GCF_014839835.1","GCA_014839825.1","LC","no","no"
"346","bFalRus","Falco_rusticolus","birds","GCF_015220075.1","GCA_028534605.1","LC","yes","yes"
"347","mChoDid","Choloepus_didactylus","mammals","GCF_015220235.1","GCA_015220265.1","LC","likely","likely"
"348","fPygNat","Pygocentrus_nattereri","fishes","GCF_015220715.1","GCA_015220065.1",NA,NA,NA
"349","fSebUmb","Sebastes_umbrosus","fishes","GCF_015220745.1","GCA_916701575.1","DD/NE","no","no"
"350","bPogPus","Pogoniulus_pusillus","birds","GCF_015220805.1","GCA_015220175.1","LC","no","no"
"351","mRatNor","Rattus_norvegicus","mammals","GCF_015227675.2","GCA_021556685.1","LC","yes","yes"
"352","bHirRus","Hirundo_rustica","birds","GCF_015227805.1","GCA_015227815.3","LC","no","no"
"353","rCheMyd","Chelonia_mydas","reptiles","GCF_015237465.2","GCA_015220195.2","LC","no","no"
"354","mTacAcu","Tachyglossus_aculeatus","mammals","GCF_015852505.1","GCA_015852515.1","LC","no","no"
"355","bGalGal","Gallus_gallus","birds","GCF_016700215.2","GCA_027408225.1","LC","yes",NA
"356","sCarCar","Carcharodon_carcharias","sharks","GCF_017639515.1","GCA_036900845.1","VU","no likely","no likely"
"357","bFalNau","Falco_naumanni","birds","GCF_017639655.2","GCA_017639645.1","LC","no",NA
"358","fMelBoe","Melanotaenia_boesemani","fishes","GCF_017639745.1","GCA_017639755.1","EN","likely","likely"
"359","fCheRos","Chelmon_rostratus","fishes","GCF_017976325.1","GCA_017976315.1","LC","no","no"
"360","bCucCan","Cuculus_canorus","birds","GCF_017976375.1","GCA_017976305.1","LC","no","no"
"361","fToxJac","Toxotes_jaculatrix","fishes","GCF_017976425.1","GCA_017976295.1","LC","likely","likely"
"362","fAloSap","Alosa_sapidissima","fishes","GCF_018492685.1","GCA_019202745.1","LC","no","no"
"363","mDroGli","Dromiciops_gliroides","mammals","GCF_019393635.1","GCA_019395325.1","NT","no","no"
"364","fScaArg","Scatophagus_argus","fishes","GCF_020382885.2","GCA_020382915.1","LC","no","no"
"365","mLemCat","Lemur_catta","mammals","GCF_020740605.2","GCA_020740595.1","EN","yes","yes"
"366","mJacJac","Jaculus_jaculus","mammals","GCF_020740685.1","GCA_020740715.1","LC","likely",NA
"367","bCorHaw","Corvus_hawaiiensis","birds","GCF_020740725.1","GCA_003402825.1","EW","yes","yes"
"368","sHemOce","Hemiscyllium_ocellatum","sharks","GCF_020745735.1","GCA_020745765.1","LC","likely",NA
"369","bAgePho","Agelaius_phoeniceus","birds","GCF_020745825.1","GCA_013398535.1","LC","no likely",NA
"370","mDicBic","Diceros_bicornis","mammals","GCF_020826845.1","GCA_020826835.1","CR","yes","yes"
"371","fGirMul","Girardinichthys_multiradiatus","fishes","GCF_021462225.1","GCA_021462225.2",NA,NA,NA
"372","rElgMul","Elgaria_multicarinata","reptiles","GCF_023053635.1","GCA_023053675.2","LC","no likely","no likely"
"373","bLagMut","Lagopus_muta","birds","GCF_023343835.1","GCA_023344045.1","LC","no","no"
"374","fAstMex","Astyanax_mexicanus","fishes","GCF_023375975.1","GCA_023375835.1","LC","no",NA
"375","bFalChe","Falco_cherrug","birds","GCF_023634085.1","GCA_023634115.1","EN","no","no"
"376","bFalPer","Falco_peregrinus","birds","GCF_023634155.1","GCA_965282525.1","LC","no","no"
"377","bFalBia","Falco_biarmicus","birds","GCF_023638135.1","GCA_023634305.1","LC","likely","likely"
"378","mSunEtr","Suncus_etruscus","mammals","GCF_024139225.1","GCA_024140225.1","LC","yes","no likely"
"379","mEleMax","Elephas_maximus","mammals","GCF_024166365.1","GCA_033060105.1","EN","yes","likely"
"380","rGopFla","Gopherus_flavomarginatus","reptiles","GCF_025201925.1","GCA_025201965.1","CR","likely",NA
"381","mMesDen","Mesoplodon_densirostris","mammals","GCF_025265405.1","GCA_025094165.1","LC","no","no"
"382","bHarHar","Harpia_harpyja","birds","GCF_026419915.1","GCA_026419925.1","VU","no","no"
"383","mKogBre","Kogia_breviceps","mammals","GCF_026419965.1","GCA_026419985.1","LC","no",NA
"384","bVidCha","Vidua_chalybeata","birds","GCF_026979565.1","GCA_013398495.1","LC","no",NA
"385","rPodRaf","Podarcis_raffonei","reptiles","GCF_027172205.1","GCA_027172095.1",NA,NA,NA
"386","fPanHyp","Pangasianodon_hypophthalmus","fishes","GCF_027358585.1","GCA_027382375.1","EN","likely","likely"
"387","aSpeBom","Spea_bombifrons","amphibians","GCF_027358695.1","GCA_027382365.2","LC","no","no"
"388","mNycCou","Nycticebus_coucang","mammals","GCF_027406575.1","GCA_027406535.1","EN","yes","yes"
"389","mCynVol","Cynocephalus_volans","mammals","GCF_027409185.1","GCA_027409165.1","LC","no","no"
"390","fScoJap","Scomber_japonicus","fishes","GCF_027409825.1","GCA_027409835.1","LC","no","no"
"391","bAmmNel","Ammospiza_nelsoni","birds","GCF_027579445.1","GCA_027579665.1","LC","no","no"
"392","fNeoGra","Neoarius_graeffei","fishes","GCF_027579695.1","GCA_027579805.1","LC","no","no"
"393","aBomBom","Bombina_bombina","amphibians","GCF_027579735.1","GCA_027579415.1",NA,NA,NA
"394","mSorAra","Sorex_araneus","mammals","GCF_027595985.1","GCA_027595995.1","LC","no","no"
"395","aDenEbr","Dendropsophus_ebraccatus","amphibians","GCF_027789765.1","GCA_027789725.1","LC","likely",NA
"396","bAmmCau","Ammospiza_caudacuta","birds","GCF_027887145.1","GCA_027887135.1","EN","no","no"
"397","rMalTer","Malaclemys_terrapin","reptiles","GCF_027887155.1","GCA_027887205.1","VU","no",NA
"398","rEmyOrb","Emys_orbicularis","reptiles","GCF_028017835.1","GCA_028017845.1","NT","no",NA
"399","mNeoNeb","Neofelis_nebulosa","mammals","GCF_028018385.1","GCA_030324275.1","VU","yes","yes"
"400","bMelGeo","Melospiza_georgiana","birds","GCF_028018845.1","GCA_028019105.1","LC","no","no"
"401","mEscRob","Eschrichtius_robustus","mammals","GCF_028021215.1","GCA_029890035.1","LC","no","no"
"402","mBalRic","Balaenoptera_ricei","mammals","GCF_028023285.1","GCA_028017805.1","CR","no",NA
"403","mNotEug","Notamacropus_eugenii","mammals","GCF_028372415.1","GCA_048593335.1","LC","no","unknown"
"404","bRhePen","Rhea_pennata","birds","GCF_028389875.1","GCA_028389885.1","LC","yes","yes"
"405","aPseCor","Pseudophryne_corroboree","amphibians","GCF_028390025.1","GCA_028390055.1","CR","likely",NA
"406","bRisTri","Rissa_tridactyla","birds","GCF_028500815.1","GCA_028501385.1","VU","no",NA
"407","mEubGla","Eubalaena_glacialis","mammals","GCF_028564815.1","GCA_028571275.1","CR","no",NA
"408","rEubMac","Eublepharis_macularius","reptiles","GCF_028583425.1","GCA_050574515.1","LC","yes",NA
"409","bGruAme","Grus_americana","birds","GCF_028858705.1","GCA_028858595.1","EN","no",NA
"410","bColStr","Colius_striatus","birds","GCF_028858725.1","GCA_028858625.2","LC","yes",NA
"411","mPanTro","Pan_troglodytes","mammals","GCF_028858775.2","GCA_028858805.2","EN","no",NA
"412","mSymSyn","Symphalangus_syndactylus","mammals","GCF_028878055.3","GCA_028878085.3","EN","no",NA
"413","mPonPyg","Pongo_pygmaeus","mammals","GCF_028885625.2","GCA_028885525.2","CR","no",NA
"414","mPonAbe","Pongo_abelii","mammals","GCF_028885655.2","GCA_028885685.2","CR","no",NA
"415","mGorGor","Gorilla_gorilla","mammals","GCF_029281585.2","GCA_028885495.2","CR","yes",NA
"416","mPanPan","Pan_paniscus","mammals","GCF_029289425.2","GCA_030221875.1","EN","yes",NA
"417","aHylSar","Hyla_sarda","amphibians","GCF_029499605.1","GCA_029493135.1","LC","no",NA
"418","fHopMal","Hoplias_malabaricus","fishes","GCF_029633855.1","GCA_029633875.2","LC","no",NA
"419","fLamInc","Lampris_incognitus","fishes","GCF_029633865.1","GCA_029633845.1","DD/NE","no",NA
"420","rEulEur","Euleptes_europaea","reptiles","GCF_029931775.1","GCA_029931755.1","LC","no",NA
"421","mLoxAfr","Loxodonta_africana","mammals","GCF_030014295.1","GCA_030020305.1","EN","yes",NA
"422","fTriRos","Trichomycterus_rosablanca","fishes","GCF_030014385.1","GCA_030015355.1","VU","no",NA
"423","mManPen","Manis_pentadactyla","mammals","GCF_030020395.1","GCA_030020945.1","CR","yes",NA
"424","mHipAmp","Hippopotamus_amphibius","mammals","GCF_030028045.1","GCA_030028035.1","VU","yes",NA
"425","sMobBir","Mobula_birostris","sharks","GCF_030028105.1","GCA_030035685.1","EN","no",NA
"426","rRhiFlo","Rhineura_floridana","reptiles","GCF_030035675.1","GCA_030035715.1","LC","no",NA
"427","sHypSab","Hypanus_sabinus","sharks","GCF_030144855.1","GCA_030144785.1","LC","no",NA
"428","mOchPri","Ochotona_princeps","mammals","GCF_030435755.1","GCA_030435715.1","LC","no",NA
"429","mDasNov","Dasypus_novemcinctus","mammals","GCF_030445035.2","GCA_030445055.2","LC","no",NA
"430","fSalBra","Salminus_brasiliensis","fishes","GCF_030463535.1","GCA_030448965.1","LC","no",NA
"431","bPoeAtr","Poecile_atricapillus","birds","GCF_030490865.1","GCA_030490855.1","LC","no",NA
"432","sSteTig","Stegostoma_tigrinum","sharks","GCF_030684315.1","GCA_030684295.1","EN","no",NA
"433","rAllMis","Alligator_mississippiensis","reptiles","GCF_030867095.1","GCA_030867065.1","LC","no",NA
"434","bGavSte","Gavia_stellata","birds","GCF_030936135.1","GCA_030936125.1","LC","no",NA
"435","rEryReg","Erythrolamprus_reginae","reptiles","GCF_031021105.1","GCA_031001685.1",NA,NA,NA
"436","aRanImi","Ranitomeya_imitator","amphibians","GCF_032444005.1","GCA_958301615.1","LC","yes","yes"
"437","sHepPer","Heptranchias_perlo","sharks","GCF_035084215.1","GCA_035084135.1","NT","no",NA
"438","rCanAsp","Candoia_aspera","reptiles","GCF_035149785.1","GCA_035125265.1","LC","likely",NA
"439","aEleCoq","Eleutherodactylus_coqui","amphibians","GCF_035609145.1","GCA_035609135.1","LC","no",NA
"440","bMelMel","Melospiza_melodia","birds","GCF_035770615.1","GCA_022749695.1","LC","no","no"
"441","bCalNic","Caloenas_nicobarica","birds","GCF_036013445.1","GCA_036010745.1","NT","yes",NA
"442","bColLiv","Columba_livia","birds","GCF_036013475.1","GCA_036010775.2","LC","no",NA
"443","bHelExo","Heliangelus_exortis","birds","GCF_036169615.1","GCA_036172335.1","LC","no",NA
"444","aPelFus","Pelobates_fuscus","amphibians","GCF_036172605.1","GCA_036172575.1","LC","no",NA
"445","bPsePip","Pseudopipra_pipra","birds","GCF_036250125.1","GCA_036250135.1","LC","no","no"
"446","mCamDro","Camelus_dromedarius","mammals","GCF_036321535.1","GCA_036321565.1",NA,NA,NA
"447","sHetFra","Heterodontus_francisci","sharks","GCF_036365525.1","GCA_036365495.1","LC","no",NA
"448","bDroNov","Dromaius_novaehollandiae","birds","GCF_036370855.1","GCA_036417515.1","LC","yes",NA
"449","fAmiCal","Amia_calva","fishes","GCF_036373705.1","GCA_036365475.1","LC","no",NA
"450","bPasDom","Passer_domesticus","birds","GCF_036417665.1","GCA_036417895.1","LC","no",NA
"451","bAptMan","Apteryx_mantelli","birds","GCF_036417845.1","GCA_036417975.1","VU","yes",NA
"452","mSacBil","Saccopteryx_bilineata","mammals","GCF_036850765.1","GCA_036850925.1","LC","no","no"
"453","mSacLep","Saccopteryx_leptura","mammals","GCF_036850995.1","GCA_036851165.1","LC","no","no"
"454","sNarBan","Narcine_bancroftii","sharks","GCF_036971445.1","GCA_036971175.1","LC","no",NA
"455","bLatDis","Lathamus_discolor","birds","GCF_037157495.1","GCA_037157625.1","CR","no",NA
"456","rAnoSag","Anolis_sagrei","reptiles","GCF_037176765.1","GCA_037176775.1","LC","no",NA
"457","mMacFas","Macaca_fascicularis","mammals","GCF_037993035.1","GCA_011100615.1","EN","yes",NA
"458","fChaTri","Chaetodon_trifascialis","fishes","GCF_039877785.1","GCA_039877575.1","NT","no",NA
"459","mPseCra","Pseudorca_crassidens","mammals","GCF_039906515.1","GCA_039906525.1","NT","no",NA
"460","bAnsCyg","Anser_cygnoides","birds","GCF_040182565.1","GCA_025388735.1","EN","no likely",NA
"461","bStrCam","Struthio_camelus","birds","GCF_040807025.1","GCA_040807015.1","LC","yes","yes"
"462","aEngPus","Engystomops_pustulosus","amphibians","GCF_040894005.1","GCA_040894015.1","LC","likely",NA
"463","aAmbMex","Ambystoma_mexicanum","amphibians","GCF_040938575.1","GCA_002915635.3","CR","yes","yes"
"464","fLepOcu","Lepisosteus_oculatus","fishes","GCF_040954835.1","GCA_040954845.1","LC","no",NA
"465","fPemKlu","Pempheris_klunzingeri","fishes","GCF_042242105.1","GCA_042242125.1","DD/NE","no",NA
"466","mMacNem","Macaca_nemestrina","mammals","GCF_043159975.1","GCA_043161795.1","EN","likely",NA
"467","fEnoArm","Enoplosus_armatus","fishes","GCF_043641665.1","GCA_043640875.1","LC","no",NA
"468","sPriJap","Pristiophorus_japonicus","sharks","GCF_044704955.1","GCA_044704965.1",NA,NA,NA
"469","mMarFla","Marmota_flaviventris","mammals","GCF_047511675.1","GCA_047512175.1","LC","no",NA
"470","mCanLup","Canis_lupus","mammals","GCF_048164855.1","GCA_048164845.1","LC","yes","yes"
"471","fAnaTes","Anabas_testudineus","fishes","GCF_900324465.2","GCA_900650485.1","LC","no","no"
"472","fMasArm","Mastacembelus_armatus","fishes","GCF_900324485.2","GCA_019455525.1","LC","no","no likely"
"473","fCotGob","Cottoperca_gobio","fishes","GCF_900634415.1","GCA_900634435.1","LC","no","no"
"474","fParRan","Parambassis_ranga","fishes","GCF_900634625.1","GCA_900651595.1","LC","unknown","no"
"475","fGouWil","Gouania_willdenowi","fishes","GCF_900634775.1","GCA_900650505.1","LC","unknown","no"
"476","fBetSpl","Betta_splendens","fishes","GCF_900634795.4","GCA_900651605.2","VU","no","no"
"477","fDenClu","Denticeps_clupeoides","fishes","GCF_900700375.1","GCA_900700345.2","VU","unknown","no"
"478","fErpCal","Erpetoichthys_calabaricus","fishes","GCF_900747795.2","GCA_900700845.3","NT","no","no"
"479","fSpaAur","Sparus_aurata","fishes","GCF_900880675.1","GCA_900880695.1","LC","no","no"
"480","fEchNau","Echeneis_naucrates","fishes","GCF_900963305.1","GCA_900963505.1","LC","no","no"
"481","fSclFor","Scleropages_formosus","fishes","GCF_900964775.1","GCA_900964985.2","EN","no","no"
"482","fTakRub","Takifugu_rubripes","fishes","GCF_901000725.2","GCA_901000745.3","NT","likely","no"
"483","aRhiBiv","Rhinatrema_bivittatum","amphibians","GCF_901001135.1","GCA_901001175.1","LC","no","no"
"484","fSynAcu","Syngnathus_acus","fishes","GCF_901709675.1","GCA_948146105.1","LC","no",NA
"485","fSalFas","Salarias_fasciatus","fishes","GCF_902148845.1","GCA_902148835.1","LC","no","no"
"486","fSphOrb","Sphaeramia_orbicularis","fishes","GCF_902148855.1","GCA_902148825.1","LC","no","no"
"487","fMyrMur","Myripristis_murdjan","fishes","GCF_902150065.1","GCA_902148815.1","LC","no","no"
"488","fGadMor","Gadus_morhua","fishes","GCF_902167405.1","GCA_010882105.1","VU","no","no"
"489","fChaCha","Chanos_chanos","fishes","GCF_902362185.1","GCA_902362175.1","LC","no","no"
"490","eAstRub","Asterias_rubens","other","GCF_902459465.1","GCA_902459445.1","DD/NE","unknown","unknown"
"491","aGeoSer","Geotrypetes_seraphini","amphibians","GCF_902459505.1","GCA_902459495.1","LC","no","no"
"492","fThaAma","Thalassophryne_amazonica","fishes","GCF_902500255.1","GCA_902500245.1","DD/NE","no","no"
"493","mLutLut","Lutra_lutra","mammals","GCF_902655055.1","GCA_902653095.1","NT","no","no"
"494","mSciCar","Sciurus_carolinensis","mammals","GCF_902686445.1","GCA_902685475.1","LC","no","no"
"495","fAciRut","Acipenser_ruthenus","fishes","GCF_902713425.1","GCA_902713435.2","EN","no",NA
"496","sScyCan","Scyliorhinus_canicula","sharks","GCF_902713615.1","GCA_902713625.2","LC","no","no"
"497","mArvAmp","Arvicola_amphibius","mammals","GCF_903992535.2","GCA_903992525.1","LC","no","no"
"498","mOnyTor","Onychomys_torridus","mammals","GCF_903995425.1","GCA_949787125.1","LC","unknown",NA
"499","fAcaLat","Acanthopagrus_latus","fishes","GCF_904848185.1","GCA_020080195.1",NA,NA,NA
"500","aBufBuf","Bufo_bufo","amphibians","GCF_905171765.1","GCA_905171715.1","LC","no","no"
"501","aRanTem","Rana_temporaria","amphibians","GCF_905171775.1","GCA_905171725.1","LC","no","no"
"502","mCerEla","Cervus_elaphus","mammals","GCF_910594005.1","GCA_910593805.1","LC","no","no"
"503","fThuMac","Thunnus_maccoyii","fishes","GCF_910596095.1","GCA_910596085.1","EN","no","no"
"504","fThuAlb","Thunnus_albacares","fishes","GCF_914725855.1","GCA_914744365.2","LC","no","no"
"505","mMelMel","Meles_meles","mammals","GCF_922984935.1","GCA_922990625.1","LC","no",NA
"506","bAccGen","Accipiter_gentilis","birds","GCF_929443795.1","GCA_929447715.1",NA,NA,NA
"507","mOrcOrc","Orcinus_orca","mammals","GCF_937001465.1","GCA_937001455.1","DD/NE","no","no"
"508","mApoSyl","Apodemus_sylvaticus","mammals","GCF_947179515.1","GCA_947179525.1","LC","no","no"
"509","fPlePla","Pleuronectes_platessa","fishes","GCF_947347685.1","GCA_947347695.1","LC","no","no"
"510","bHalAlb","Haliaeetus_albicilla","birds","GCF_947461875.1","GCA_947461935.1","LC","no","no"
"511","fPlaFle","Platichthys_flesus","fishes","GCF_949316205.1","GCA_949316195.1","LC","no","no"
"512","fPunPun","Pungitius_pungitius","fishes","GCF_949316345.1","GCA_949316245.1","LC","no","no"
"513","mLagAlb","Lagenorhynchus_albirostris","mammals","GCF_949774975.1","GCA_949774935.1","LC","no","no"
"514","mDelDel","Delphinus_delphis","mammals","GCF_949987515.2","GCA_030062865.2","LC","no","no"
"515","mBalAcu","Balaenoptera_acutorostrata","mammals","GCF_949987535.1","GCA_950005055.1","LC","no","no"
"516","mChiNiv","Chionomys_nivalis","mammals","GCF_950005125.1","GCA_950005115.1","LC","no","no"
"517","mEriEur","Erinaceus_europaeus","mammals","GCF_950295315.1","GCA_950295305.1","NT","no","no"
"518","fSolSol","Solea_solea","fishes","GCF_958295425.1","GCA_958295035.1","DD/NE","no","no"
"519","fCarCar","Carassius_carassius","fishes","GCF_963082965.1","GCA_047456465.1","LC","yes","yes"
"520","mMyoDau","Myotis_daubentonii","mammals","GCF_963259705.1","GCA_963242275.2","LC","no","no"
"521","mGloMel","Globicephala_melas","mammals","GCF_963455315.2","GCA_963455345.2","LC","no","no"
