ID,Species_Name,vgp_group,Accession,Secondary_Accession
bLarArg,Larus_argentatus,birds,GCA_964417175.1,GCA_964417125.1
fPorCra,Poromitra_crassiceps,fishes,GCA_964638095.1,GCA_964638665.1
mPipNat,Pipistrellus_nathusii,mammals,GCA_964656225.1,GCA_963693515.1
mHalGry,Halichoerus_grypus,mammals,GCA_964656455.1,GCA_964656465.1
mMusNiv,Mustela_nivalis,mammals,GCA_964662115.1,GCA_964662095.1
rPodLio,Podarcis_liolepis,reptiles,GCA_965112155.1,GCA_965178375.1
fLeuLeu,Leuciscus_leuciscus,fishes,GCA_965113295.1,GCA_965113325.1
rPodVau,Podarcis_vaucheri,reptiles,GCA_965113315.1,GCA_965113305.1
mMyoEma,Myotis_emarginatus,mammals,GCA_965115925.1,GCA_965115945.1
aPelLes,Pelophylax_lessonae,amphibians,GCA_965119305.1,GCA_965119315.1
rCarCar,Caretta_caretta,reptiles,GCA_965140235.1,GCA_965140275.1
bAthNoc,Athene_noctua,birds,GCA_965140245.1,GCA_965140185.1
rLepKem,Lepidochelys_kempii,reptiles,GCA_965140285.1,GCA_965140265.1
rLepOli,Lepidochelys_olivacea,reptiles,GCA_965140295.1,GCA_965140255.1
bAytMar,Aythya_marila,birds,GCA_965140915.1,GCA_965140925.1
bCygCol,Cygnus_columbianus,birds,GCA_965151615.1,GCA_965151595.1
rEreImb,Eretmochelys_imbricata,reptiles,GCA_965152235.1,GCA_965152285.1
rNatDep,Natator_depressus,reptiles,GCA_965152275.1,GCA_965152195.1
rPodTil,Podarcis_tiliguerta,reptiles,GCA_965153285.1,GCA_965153305.1
bColMon,Coloeus_monedula,birds,GCA_965178545.1,GCA_965178535.1
bPlaLeu,Platalea_leucorodia,birds,GCA_965183815.1,GCA_965183785.1
mBalBor,Balaenoptera_borealis,mammals,GCA_965194805.1,GCA_965194725.1
mBalPhy,Balaenoptera_physalus,mammals,GCA_965194825.1,GCA_965194765.1
kThaDem,Thalia_democratica,chordates,GCA_965202585.1,GCA_965202575.1
fAulStu,Aulonocara_stuartgranti,fishes,GCA_965226115.1,GCA_965226735.1
fPagPag,Pagrus_pagrus,fishes,GCA_965226575.1,GCA_965225695.1
bVanVan,Vanellus_vanellus,birds,GCA_965231255.1,GCA_965231265.1
bZosLat,Zosterops_lateralis,birds,GCA_965231275.1,GCA_965231245.1
bBraCan,Branta_canadensis,birds,GCA_965231335.1,GCA_965231325.1
mBosTau,Bos_taurus,mammals,GCF_003369695.1,GCA_003369685.2
bCalAnn,Calypte_anna,birds,GCF_003957555.1,GCA_002021895.1
bStrHab,Strigops_habroptila,birds,GCF_004027225.2,GCA_004011185.1
mOrnAna,Ornithorhynchus_anatinus,mammals,GCF_004115215.2,GCA_002966995.1
