"","IUCN","Generations","median_Ne","lq_Ne","uq_Ne"
"153","CR",890704.217486351,761522.527274594,287042.805031535,1720154.82620148
"154","CR",940876.817275352,891653.544986084,259570.911827596,1720154.82620148
"155","CR",993875.596305641,1029114.73060696,264704.37705881,1720154.82620148
"156","CR",1049859.75081456,683902.140442724,257015.362697574,1523670.79131273
"157","CR",1108997.44442608,829880.286544018,283175.955802341,1415700.72734488
"158","CR",1171466.31327599,1174295.63960232,328806.006585692,1654119.30004177
"159","CR",1237453.99959026,1203822.13527951,336328.090989751,1757723.75888543
"160","CR",1307158.71531952,1218256.98185959,358402.575217139,1757723.75888543
"161","CR",1380789.83752248,1356552.99882997,533594.271133982,1811472.64198846
"162","CR",1458568.53728686,1690788.58379548,1034388.19767142,2211619.51067043
"163","CR",1540728.44407684,1749521.06860747,1255728.05118972,2321227.58899908
"164","CR",1627516.34750269,1857018.83481353,1332093.48296495,2885150.6123766
"165","CR",1719192.93862039,1857018.83481353,1332093.48296495,2964098.7256116
"166","CR",1816033.59298813,1857018.83481353,1332093.48296495,2964098.7256116
"167","CR",1918329.19783157,1857018.83481353,1332093.48296495,2964098.7256116
"168","CR",2026387.02580277,2031312.68503989,1523670.79131273,2964098.7256116
"169","CR",2140531.65795702,2031312.68503989,1523670.79131273,3122130.10048071
"170","CR",2261105.95872035,2031312.68503989,1523670.79131273,3122130.10048071
"171","CR",2388472.10577594,2031312.68503989,1523670.79131273,3122130.10048071
"172","CR",2523012.67796328,2031312.68503989,1523670.79131273,3122130.10048071
"173","CR",2665131.80445767,2031312.68503989,1615483.72575219,3122130.10048071
"174","CR",2815256.37868204,2169750.42445743,1720154.82620148,3122130.10048071
"175","CR",2973837.3405974,2169750.42445743,1720154.82620148,3122130.10048071
"176","CR",3141351.03122351,2169750.42445743,1720154.82620148,3122130.10048071
"177","CR",3318300.62345865,2169750.42445743,1720154.82620148,3122130.10048071
"178","CR",3505217.6334962,2169750.42445743,1720154.82620148,3122130.10048071
"179","CR",3702663.51737791,2169750.42445743,1720154.82620148,3122130.10048071
"180","CR",3911231.35747976,2473331.81171465,1757723.75888543,3122130.10048071
"181","CR",4131547.64399609,2507774.0997091,1757723.75888543,3310909.70328808
"182","CR",4364274.15677314,2507774.0997091,1757723.75888543,3310909.70328808
"183","CR",4610109.95314469,2507774.0997091,1757723.75888543,3310909.70328808
"184","CR",4869793.46774079,2507774.0997091,1757723.75888543,3310909.70328808
"185","CR",5144104.73057679,2507774.0997091,1757723.75888543,3310909.70328808
"186","CR",5433867.71008563,2507774.0997091,1757723.75888543,3310909.70328808
"187","CR",5739952.78813084,2507774.0997091,1757723.75888543,3310909.70328808
"188","CR",6063279.37443508,2507774.0997091,1757723.75888543,3310909.70328808
"189","CR",6404818.66827714,2507774.0997091,1757723.75888543,3310909.70328808
"190","CR",6765596.57575294,2507774.0997091,1757723.75888543,3310909.70328808
"191","CR",7146696.79136328,2507774.0997091,1757723.75888543,3310909.70328808
"192","CR",7549264.05318486,2507774.0997091,1757723.75888543,3310909.70328808
"193","CR",7974507.58140217,2507774.0997091,1757723.75888543,3310909.70328808
"194","CR",8423704.710529,2507774.0997091,1757723.75888543,3310909.70328808
"195","CR",8898204.72622986,2507774.0997091,1757723.75888543,3310909.70328808
"196","CR",9399432.91826609,2507774.0997091,1757723.75888543,3310909.70328808
"197","CR",9928894.86174112,2507774.0997091,1757723.75888543,3310909.70328808
"198","CR",10488180.9395045,2507774.0997091,1757723.75888543,3310909.70328808
"199","CR",11078971.1192989,2507774.0997091,1757723.75888543,3310909.70328808
"200","CR",11703040,2507774.0997091,1757723.75888543,3310909.70328808
"201","EN",214.9048,22295.9226331485,6797.06842438856,59174.1361685634
"202","EN",227.010201896001,22295.9226331485,6797.06842438856,59174.1361685634
"203","EN",239.797490632425,22295.9226331485,6797.06842438856,59174.1361685634
"204","EN",253.305076306444,22295.9226331485,6797.06842438856,59174.1361685634
"205","EN",267.573532622853,22295.9226331485,6797.06842438856,59174.1361685634
"206","EN",282.645718768218,22295.9226331485,6797.06842438856,59174.1361685634
"207","EN",298.56690815009,22295.9226331485,6797.06842438856,59174.1361685634
"208","EN",315.384924387993,22295.9226331485,6797.06842438856,59174.1361685634
"209","EN",333.15028496466,22295.9226331485,6797.06842438856,59174.1361685634
"210","EN",351.916352969025,22295.9226331485,6797.06842438856,59174.1361685634
"211","EN",371.739497386762,22295.9226331485,6797.06842438856,59174.1361685634
"212","EN",392.679262419857,22295.9226331485,6797.06842438856,59174.1361685634
"213","EN",414.798546343797,22295.9226331485,6797.06842438856,59174.1361685634
"214","EN",438.163790439641,22295.9226331485,6797.06842438856,59174.1361685634
"215","EN",462.845178568463,22295.9226331485,6797.06842438856,59174.1361685634
"216","EN",488.916847987656,22295.9226331485,6797.06842438856,59174.1361685634
"217","EN",516.457112042328,22295.9226331485,6797.06842438856,59174.1361685634
"218","EN",545.548695400728,22295.9226331485,6797.06842438856,59174.1361685634
"219","EN",576.278982540265,22295.9226331485,6797.06842438856,59174.1361685634
"220","EN",608.740280230538,22295.9226331485,6797.06842438856,59174.1361685634
"221","EN",643.030094801803,22295.9226331485,6797.06842438856,59174.1361685634
"222","EN",679.251425031744,22295.9226331485,6797.06842438856,59174.1361685634
"223","EN",717.513071530289,22295.9226331485,6797.06842438856,59174.1361685634
"224","EN",757.929963551818,22295.9226331485,6797.06842438856,59174.1361685634
"225","EN",800.62350421641,22295.9226331485,6797.06842438856,59174.1361685634
"226","EN",845.721935177116,21818.5636825163,6797.06842438856,59174.1361685634
"227","EN",893.360721828612,21413.9640459544,6797.06842438856,59174.1361685634
"228","EN",943.682960214339,21413.9640459544,6797.06842438856,59174.1361685634
"229","EN",996.839806854351,21413.9640459544,6797.06842438856,59174.1361685634
"230","EN",1052.99093278501,21413.9640459544,6797.06842438856,59174.1361685634
"231","EN",1112.30500317435,21413.9640459544,6797.06842438856,59174.1361685634
"232","EN",1174.96018395374,21413.9640459544,6713.4778857072,59174.1361685634
"233","EN",1241.14467698768,21413.9640459544,6536.55091352112,59174.1361685634
"234","EN",1311.05728538925,21413.9640459544,6349.65779770049,59174.1361685634
"235","EN",1384.90801067932,21413.9640459544,6152.23715397632,59174.1361685634
"236","EN",1462.91868358315,21413.9640459544,5943.69597578829,59174.1361685634
"237","EN",1545.32363035932,21413.9640459544,5723.40785302838,59174.1361685634
"238","EN",1632.37037666227,21413.9640459544,5996.40828752714,59174.1361685634
"239","EN",1724.32039105294,21413.9640459544,6300.95572805111,59174.1361685634
"240","EN",1821.4498703906,21413.9640459544,7240.38299906007,59174.1361685634
"241","EN",1924.05056946525,21413.9640459544,8534.31648659259,59174.1361685634
"242","EN",2032.43067736236,21413.9640459544,8534.31648659259,59174.1361685634
"243","EN",2146.91574319259,21413.9640459544,8534.31648659259,58776.3986220906
"244","EN",2267.84965396702,21413.9640459544,8978.55058753906,58208.7788117795
"245","EN",2395.59566755526,21413.9640459544,9072.50973859475,57609.185467476
"246","EN",2530.53750382916,21413.9640459544,9171.76152753166,56975.817547607
"247","EN",2673.08049726976,22295.9226331485,9418.83050793359,56306.7725594825
"248","EN",2823.65281449959,22295.9226331485,9802.35056800945,55600.0408446411
"249","EN",2982.70674039744,22295.9226331485,10188.856528807,55246.1006611577
"250","EN",3150.72003665896,22295.9226331485,10317.0520624018,55246.1006611577
"251","EN",3328.19737688375,22937.6260527072,10671.8862138901,55246.1006611577
"252","EN",3515.67186249967,24055.2402694431,10595.5133216657,55246.1006611577
"253","EN",3713.70662407791,24121.2333186596,10746.6154814099,55246.1006611577
"254","EN",3922.89651284868,24121.2333186596,10863.657370863,55246.1006611577
"255","EN",4143.86988749854,27398.0467004786,11034.1942219326,57653.3658482544
"256","EN",4377.29050161654,27682.735430198,11464.532328191,59625.2897530168
"257","EN",4623.8594974585,27802.2722710284,11919.1110085428,62480.1820672505
"258","EN",4884.31751201832,27928.5425189285,12852.6739472091,62480.1820672505
"259","EN",5159.44690173255,28061.9254609068,14149.9512366398,55246.1006611577
"260","EN",5450.0740925005,27317.8861017506,13901.3371808415,55246.1006611577
"261","EN",5757.07206207913,27598.9305711397,14592.1518949358,55246.1006611577
"262","EN",6081.36296230893,28411.243942164,15278.7434329828,58349.876599224
"263","EN",6423.92088904767,28858.2015184749,16126.5181492713,58093.8427205132
"264","EN",6785.77480813202,30779.9695289721,17022.0472835996,69602.9932756338
"265","EN",7168.0116461561,31250.8518948557,17968.0208011182,71133.5544268233
"266","EN",7571.77955535094,29201.6489317533,18967.2801903927,71013.6189779074
"267","EN",7998.29136237175,29443.8205546154,19857.7047718181,70886.9276686723
"268","EN",8448.82821135242,29872.0435396822,20771.3275036077,70753.0999473375
"269","EN",8924.74341217014,31343.3643950642,21736.4138153157,64669.2570234163
"270","EN",9427.4665054794,33726.3929668399,20649.2190360427,58287.4699836231
"271","EN",9958.50755672587,33478.1597761728,20868.6591004948,58232.675828189
"272","EN",10519.4616920385,31475.9482811378,22035.2884753627,58174.795165273
"273","EN",11112.0138896242,31869.5952854991,22380.0505967324,58113.6541345728
"274","EN",11737.9440410579,32566.0381276412,21517.8213066505,58049.069082385
"275","EN",12399.132297671,33501.3312392727,18183.3711471632,62505.7963662711
"276","EN",13097.5647180962,33570.5537866886,15633.1190328395,67752.8743974165
"277","EN",13835.339233935,35532.9378822068,15363.4079177457,65770.9723133109
"278","EN",14614.6719514652,36635.3538962311,15256.7532624952,63348.5353697442
"279","EN",15437.9038083186,34609.9360491341,15145.2724043815,64198.7335347505
"280","EN",16307.507605123,34552.5527758449,15027.5849246736,66448.4752230167
"281","EN",17226.0954332316,34685.8250198706,14903.2682108118,68824.9429187925
"282","EN",18196.4265208487,34826.6043743728,14797.4884450478,71051.0453000181
"283","EN",19221.415521122,34975.313708405,14739.0556212598,70245.3443363729
"284","EN",20304.1412670951,32770.8473122286,14861.1751547659,68592.4629763073
"285","EN",21447.8560198199,34758.5594961679,14863.2088339676,66802.9132789656
"286","EN",22655.9952374059,33554.1475635316,15491.6702597021,65970.101831529
"287","EN",23932.1878943529,32559.900535605,15877.787055018,67508.1445889949
"288","EN",25280.2673821622,32109.8270326013,16297.5910599868,68060.544929374
"289","EN",26704.2830239694,30125.8800914057,16741.0422622155,68644.0615041406
"290","EN",28208.5122377873,30249.5220357925,17190.9894129211,69260.4470639206
"291","EN",29797.4733848938,32125.9107375986,17624.1206529701,69911.5530902701
