"","Generations_end","IUCN","Ne_median","Ne_min","Ne_max","Ne_lq","Ne_uq"
"139",1447.224,"LC",17818.9593727726,17818.9593727726,17818.9593727726,17818.9593727726,17818.9593727726
"140",1450.448,"VU",3200.87063681321,3200.87063681321,3200.87063681321,3200.87063681321,3200.87063681321
"141",1451.448,"NT",100031.509925627,100031.509925627,100031.509925627,100031.509925627,100031.509925627
"142",1454.064,"LC",18043.9460305574,18043.9460305574,18043.9460305574,18043.9460305574,18043.9460305574
"143",1456.392,"LC",11411.6821390057,11411.6821390057,11411.6821390057,11411.6821390057,11411.6821390057
"144",1462.104,"LC",45587.5782966657,45587.5782966657,45587.5782966657,45587.5782966657,45587.5782966657
"145",1462.536,"EN",33784.0691222054,33784.0691222054,33784.0691222054,33784.0691222054,33784.0691222054
"146",1466.28,"EN",6334.27555682241,6334.27555682241,6334.27555682241,6334.27555682241,6334.27555682241
"147",1485.616,"LC",65500.9677767989,65500.9677767989,65500.9677767989,65500.9677767989,65500.9677767989
"148",1497.672,"VU",20733.3381711122,20733.3381711122,20733.3381711122,20733.3381711122,20733.3381711122
"149",1500.688,"LC",4337.86785119378,4337.86785119378,4337.86785119378,4337.86785119378,4337.86785119378
"150",1503.656,"LC",2951.96416315506,2951.96416315506,2951.96416315506,2951.96416315506,2951.96416315506
"151",1506.68,"LC",800.836072860066,800.836072860066,800.836072860066,800.836072860066,800.836072860066
"152",1508.528,"LC",36884.3767001392,36884.3767001392,36884.3767001392,36884.3767001392,36884.3767001392
"153",1510.568,"LC",29240.6210707915,29240.6210707915,29240.6210707915,29240.6210707915,29240.6210707915
"154",1518.44,"LC",17668.8590775972,17668.8590775972,17668.8590775972,17668.8590775972,17668.8590775972
"155",1519.744,"LC",38654.8125241593,38654.8125241593,38654.8125241593,38654.8125241593,38654.8125241593
"156",1527.96,"LC",4065.7885241086,4065.7885241086,4065.7885241086,4065.7885241086,4065.7885241086
"157",1534.992,"LC",15848.9280181312,15848.9280181312,15848.9280181312,15848.9280181312,15848.9280181312
"158",1542.512,"LC",128972.348328518,128972.348328518,128972.348328518,128972.348328518,128972.348328518
"159",1549.4,"LC",250161.041170253,250161.041170253,250161.041170253,250161.041170253,250161.041170253
"160",1561.032,"LC",15069.0350166701,15069.0350166701,15069.0350166701,15069.0350166701,15069.0350166701
"161",1565.168,"EN",3391.23873472883,3391.23873472883,3391.23873472883,3391.23873472883,3391.23873472883
"162",1565.752,"EN",4348.99842566257,4348.99842566257,4348.99842566257,4348.99842566257,4348.99842566257
"163",1567.432,"LC",2048.56114186798,2048.56114186798,2048.56114186798,2048.56114186798,2048.56114186798
"164",1574.832,"LC",18822.5550677377,18822.5550677377,18822.5550677377,18822.5550677377,18822.5550677377
"165",1579.976,"LC",5675.68296202542,5675.68296202542,5675.68296202542,5675.68296202542,5675.68296202542
"166",1582.312,"LC",14951.929546508,14951.929546508,14951.929546508,14951.929546508,14951.929546508
"167",1583.832,"VU",14301.0879552662,14301.0879552662,14301.0879552662,14301.0879552662,14301.0879552662
"168",1586.896,"CR",8917.28548912426,8917.28548912426,8917.28548912426,8917.28548912426,8917.28548912426
"169",1589.696,"LC",28651.4479725519,28651.4479725519,28651.4479725519,28651.4479725519,28651.4479725519
"170",1592.52,"LC",34507.1516071706,34507.1516071706,34507.1516071706,34507.1516071706,34507.1516071706
"171",1594.968,"LC",13805.9096196127,13805.9096196127,13805.9096196127,13805.9096196127,13805.9096196127
"172",1602.664,"LC",2586.06756101503,2586.06756101503,2586.06756101503,2586.06756101503,2586.06756101503
"173",1618.648,"LC",41948.8161519722,41948.8161519722,41948.8161519722,41948.8161519722,41948.8161519722
"174",1625.872,"EN",8952.070613933,8952.070613933,8952.070613933,8952.070613933,8952.070613933
"175",1627.76,"LC",4873.91189916851,4873.91189916851,4873.91189916851,4873.91189916851,4873.91189916851
"176",1636.808,"LC",31508.9643003435,31508.9643003435,31508.9643003435,31508.9643003435,31508.9643003435
"177",1640.424,"LC",21664.4821647151,21664.4821647151,21664.4821647151,21664.4821647151,21664.4821647151
"178",1640.592,"LC",44588.0675642988,44588.0675642988,44588.0675642988,44588.0675642988,44588.0675642988
"179",1641.648,"EN",139161.897472472,139161.897472472,139161.897472472,139161.897472472,139161.897472472
"180",1644.536,"LC",11455.0161515728,11455.0161515728,11455.0161515728,11455.0161515728,11455.0161515728
"181",1653.832,"LC",18988483.4847665,18988483.4847665,18988483.4847665,18988483.4847665,18988483.4847665
"182",1654.336,"LC",12431.4328780321,12431.4328780321,12431.4328780321,12431.4328780321,12431.4328780321
