"","IUCN","Generations","median_Ne","lq_Ne","uq_Ne"
"344","EN",1925182.27509369,1800706.77741013,1186884.60535243,2830221.60503773
"345","EN",2051680.81178118,1800706.77741013,1310816.42193721,2830221.60503773
"346","EN",2186491.22625349,2178839.11451978,1359458.19067607,2935459.35997607
"347","EN",2330159.66958966,2332639.8923669,1398440.13240331,2935459.35997607
"348","EN",2483268.17898363,2354547.80909326,1430917.86413664,2935459.35997607
"349","EN",2646437.03572409,2354547.80909326,1363589.98306683,2935459.35997607
"350","EN",2820327.27811082,2354547.80909326,1345997.45711204,2935459.35997607
"351","EN",3005643.37948801,2354547.80909326,1345997.45711204,2935459.35997607
"352","EN",3203136.10224392,2354547.80909326,1345997.45711204,2935459.35997607
"353","EN",3413605.53933917,2354547.80909326,1345997.45711204,2935459.35997607
"354","EN",3637904.35568564,2435827.28727501,1450804.29043485,2935459.35997607
"355","EN",3876941.24250763,2566224.63447338,1450804.29043485,2964434.26311366
"356","EN",4131684.59867983,2566224.63447338,1450804.29043485,2964434.26311366
"357","EN",4403166.453956,2566224.63447338,1450804.29043485,2964434.26311366
"358","EN",4692486.64998251,2566224.63447338,1450804.29043485,2964434.26311366
"359","EN",5000817.29603497,2566224.63447338,1450804.29043485,2964434.26311366
"360","EN",5329407.51752925,2566224.63447338,1450804.29043485,2964434.26311366
"361","EN",5679588.5165445,2566224.63447338,1450804.29043485,2964434.26311366
"362","EN",6052778.96485929,2566224.63447338,1450804.29043485,2964434.26311366
"363","EN",6450490.75134988,2566224.63447338,1450804.29043485,2964434.26311366
"364","EN",6874335.10703419,2566224.63447338,1450804.29043485,2964434.26311366
"365","EN",7326029.13257624,2566224.63447338,1450804.29043485,2964434.26311366
"366","EN",7807402.75469506,2566224.63447338,1450804.29043485,2964434.26311366
"367","EN",8320406.13966064,2566224.63447338,1450804.29043485,2964434.26311366
"368","EN",8867117.59391058,2566224.63447338,1450804.29043485,2964434.26311366
"369","EN",9449751.98379504,2566224.63447338,1450804.29043485,2964434.26311366
"370","EN",10070669.7085604,2566224.63447338,1450804.29043485,2964434.26311366
"371","EN",10732386.2629235,2566224.63447338,1450804.29043485,2964434.26311366
"372","EN",11437582.4279768,2566224.63447338,1450804.29043485,2964434.26311366
"373","EN",12189115.1317107,2566224.63447338,1450804.29043485,2964434.26311366
"374","EN",12990029.0231507,2566224.63447338,1450804.29043485,2964434.26311366
"375","EN",13843568.8070014,2566224.63447338,1450804.29043485,2964434.26311366
"376","EN",14753192.3887648,2566224.63447338,1450804.29043485,2964434.26311366
"377","EN",15722584.8835908,2566224.63447338,1450804.29043485,2964434.26311366
"378","EN",16755673.5456097,2566224.63447338,1450804.29043485,2964434.26311366
"379","EN",17856643.6782325,2566224.63447338,1450804.29043485,2964434.26311366
"380","EN",19029955.5898728,2566224.63447338,1450804.29043485,2964434.26311366
"381","EN",20280362.6637846,2566224.63447338,1450804.29043485,2964434.26311366
"382","EN",21612930.6152195,2566224.63447338,1450804.29043485,2964434.26311366
"383","EN",23033058.0139202,2566224.63447338,1450804.29043485,2964434.26311366
"384","EN",24546498.1550919,2566224.63447338,1450804.29043485,2964434.26311366
"385","EN",26159382.3674557,2566224.63447338,1450804.29043485,2964434.26311366
"386","EN",27878244.8528121,2566224.63447338,1450804.29043485,2964434.26311366
"387","EN",29710049.1577446,2566224.63447338,1450804.29043485,2964434.26311366
"388","EN",31662216.3847076,2566224.63447338,1450804.29043485,2964434.26311366
"389","EN",33742655.2567896,2566224.63447338,1450804.29043485,2964434.26311366
"390","EN",35959794.1579497,2566224.63447338,1450804.29043485,2964434.26311366
