"","Generations_end","IUCN","Ne_median","Ne_min","Ne_max","Ne_lq","Ne_uq"
"105",1450.448,"VU",3200.87063681321,3200.87063681321,3200.87063681321,3200.87063681321,3200.87063681321
"106",1451.448,"NT",100031.509925627,100031.509925627,100031.509925627,100031.509925627,100031.509925627
"107",1454.064,"LC",18043.9460305574,18043.9460305574,18043.9460305574,18043.9460305574,18043.9460305574
"108",1456.392,"LC",11411.6821390057,11411.6821390057,11411.6821390057,11411.6821390057,11411.6821390057
"109",1462.104,"LC",45587.5782966657,45587.5782966657,45587.5782966657,45587.5782966657,45587.5782966657
"110",1466.28,"EN",6334.27555682241,6334.27555682241,6334.27555682241,6334.27555682241,6334.27555682241
"111",1497.672,"VU",20733.3381711122,20733.3381711122,20733.3381711122,20733.3381711122,20733.3381711122
"112",1500.688,"LC",4337.86785119378,4337.86785119378,4337.86785119378,4337.86785119378,4337.86785119378
"113",1506.68,"LC",800.836072860066,800.836072860066,800.836072860066,800.836072860066,800.836072860066
"114",1508.528,"LC",36884.3767001392,36884.3767001392,36884.3767001392,36884.3767001392,36884.3767001392
"115",1510.568,"LC",29240.6210707915,29240.6210707915,29240.6210707915,29240.6210707915,29240.6210707915
"116",1518.44,"LC",17668.8590775972,17668.8590775972,17668.8590775972,17668.8590775972,17668.8590775972
"117",1527.96,"LC",4065.7885241086,4065.7885241086,4065.7885241086,4065.7885241086,4065.7885241086
"118",1534.992,"LC",15848.9280181312,15848.9280181312,15848.9280181312,15848.9280181312,15848.9280181312
"119",1549.4,"LC",250161.041170253,250161.041170253,250161.041170253,250161.041170253,250161.041170253
"120",1561.032,"LC",15069.0350166701,15069.0350166701,15069.0350166701,15069.0350166701,15069.0350166701
"121",1565.168,"EN",3391.23873472883,3391.23873472883,3391.23873472883,3391.23873472883,3391.23873472883
"122",1567.432,"LC",2048.56114186798,2048.56114186798,2048.56114186798,2048.56114186798,2048.56114186798
"123",1574.832,"LC",18822.5550677377,18822.5550677377,18822.5550677377,18822.5550677377,18822.5550677377
"124",1579.976,"LC",5675.68296202542,5675.68296202542,5675.68296202542,5675.68296202542,5675.68296202542
"125",1582.312,"LC",14951.929546508,14951.929546508,14951.929546508,14951.929546508,14951.929546508
"126",1586.896,"CR",8917.28548912426,8917.28548912426,8917.28548912426,8917.28548912426,8917.28548912426
"127",1589.696,"LC",28651.4479725519,28651.4479725519,28651.4479725519,28651.4479725519,28651.4479725519
"128",1592.52,"LC",34507.1516071706,34507.1516071706,34507.1516071706,34507.1516071706,34507.1516071706
"129",1594.968,"LC",13805.9096196127,13805.9096196127,13805.9096196127,13805.9096196127,13805.9096196127
"130",1618.648,"LC",41948.8161519722,41948.8161519722,41948.8161519722,41948.8161519722,41948.8161519722
"131",1636.808,"LC",31508.9643003435,31508.9643003435,31508.9643003435,31508.9643003435,31508.9643003435
"132",1640.424,"LC",21664.4821647151,21664.4821647151,21664.4821647151,21664.4821647151,21664.4821647151
"133",1640.592,"LC",44588.0675642988,44588.0675642988,44588.0675642988,44588.0675642988,44588.0675642988
"134",1641.648,"EN",139161.897472472,139161.897472472,139161.897472472,139161.897472472,139161.897472472
"135",1653.832,"LC",18988483.4847665,18988483.4847665,18988483.4847665,18988483.4847665,18988483.4847665
"136",1654.336,"LC",12431.4328780321,12431.4328780321,12431.4328780321,12431.4328780321,12431.4328780321
"137",1679.112,"LC",36376.5334982403,36376.5334982403,36376.5334982403,36376.5334982403,36376.5334982403
"138",1684.76,"LC",58363.0620180488,58363.0620180488,58363.0620180488,58363.0620180488,58363.0620180488
"139",1685.952,"EN",1328.70942453595,1328.70942453595,1328.70942453595,1328.70942453595,1328.70942453595
"140",1691.16,"CR",5643.44436339831,5643.44436339831,5643.44436339831,5643.44436339831,5643.44436339831
"141",1702.616,"LC",15896.5452832963,15896.5452832963,15896.5452832963,15896.5452832963,15896.5452832963
"142",1739.712,"LC",8968.60986547085,8968.60986547085,8968.60986547085,8968.60986547085,8968.60986547085
"143",1747.4,"VU",21156.6331334031,21156.6331334031,21156.6331334031,21156.6331334031,21156.6331334031
